race;pid;finish;dist;dpos;alt;time
R00001;P000028;1;54.11;3687;1550;8.76
R00001;P000028;1;58.12;3725;1088;9.27
R00001;P000028;1;59.33;3725;1063;9.37
R00001;P000029;1;0;0;1064;0.0
R00001;P000029;1;14.03;1229;1919;1.83
R00001;P000029;1;22.4;1410;1615;2.65
R00001;P000029;1;27.94;1444;815;3.27
R00001;P000029;1;42.96;3034;1935;6.15
R00001;P000029;1;54.11;3687;1550;8.75
R00001;P000029;1;58.12;3725;1088;9.27
R00001;P000029;1;59.33;3725;1063;9.37
R00001;P000030;1;0;0;1064;0.0
R00001;P000030;1;14.03;1229;1919;1.91
R00001;P000030;1;22.4;1410;1615;2.84
R00001;P000030;1;27.94;1444;815;3.51
R00001;P000030;1;42.96;3034;1935;6.34
R00001;P000030;1;54.11;3687;1550;8.75
R00001;P000030;1;58.12;3725;1088;9.27
R00001;P000030;1;59.33;3725;1063;9.37
R00001;P000031;1;0;0;1064;0.0
R00001;P000031;1;14.03;1229;1919;1.79
R00001;P000031;1;22.4;1410;1615;2.68
R00001;P000031;1;27.94;1444;815;3.36
R00001;P000031;1;42.96;3034;1935;6.36
R00001;P000031;1;54.11;3687;1550;8.84
R00001;P000031;1;58.12;3725;1088;9.3
R00001;P000031;1;59.33;3725;1063;9.41
R00001;P000032;1;0;0;1064;0.0
R00001;P000032;1;14.03;1229;1919;2.0
R00001;P000032;1;22.4;1410;1615;2.86
R00001;P000032;1;27.94;1444;815;3.43
R00001;P000032;1;42.96;3034;1935;6.24
R00001;P000032;1;54.11;3687;1550;8.76
R00001;P000032;1;58.12;3725;1088;9.3
R00001;P000032;1;59.33;3725;1063;9.41
R00001;P000033;1;0;0;1064;0.0
R00001;P000033;1;14.03;1229;1919;1.99
R00001;P000033;1;22.4;1410;1615;2.87
R00001;P000033;1;27.94;1444;815;3.68
R00001;P000033;1;42.96;3034;1935;6.51
R00001;P000033;1;54.11;3687;1550;8.82
R00001;P000033;1;58.12;3725;1088;9.31
R00001;P000033;1;59.33;3725;1063;9.41
R00001;P000034;1;0;0;1064;0.0
R00001;P000034;1;22.4;1410;1615;2.03
R00001;P000034;1;27.94;1444;815;2.48
R00001;P000034;1;42.96;3034;1935;4.52
R00001;P000034;1;54.11;3687;1550;6.07
R00001;P000034;1;58.12;3725;1088;6.39
R00001;P000034;1;59.33;3725;1063;6.46
R00001;P000035;1;0;0;1064;0.0
R00001;P000035;1;14.03;1229;1919;1.87
R00001;P000035;1;22.4;1410;1615;2.71
R00001;P000035;1;27.94;1444;815;3.35
R00001;P000035;1;42.96;3034;1935;6.38
R00001;P000035;1;54.11;3687;1550;8.79
R00001;P000035;1;58.12;3725;1088;9.34
R00001;P000035;1;59.33;3725;1063;9.45
R00001;P000036;1;0;0;1064;0.0
R00001;P000036;1;14.03;1229;1919;2.25
R00001;P000036;1;22.4;1410;1615;2.97
R00001;P000036;1;27.94;1444;815;3.69
R00001;P000036;1;42.96;3034;1935;6.47
R00001;P000036;1;54.11;3687;1550;8.84
R00001;P000036;1;58.12;3725;1088;9.36
R00001;P000036;1;59.33;3725;1063;9.49
R00001;P000037;1;0;0;1064;0.0
R00001;P000037;1;14.03;1229;1919;2.35
R00001;P000037;1;22.4;1410;1615;3.03
R00001;P000037;1;27.94;1444;815;3.7
R00001;P000037;1;42.96;3034;1935;6.38
R00001;P000037;1;54.11;3687;1550;8.89
R00001;P000037;1;58.12;3725;1088;9.41
R00001;P000037;1;59.33;3725;1063;9.51
R00001;P000038;1;0;0;1064;0.0
R00001;P000038;1;14.03;1229;1919;2.29
R00001;P000038;1;22.4;1410;1615;3.04
R00001;P000038;1;27.94;1444;815;3.65
R00001;P000038;1;42.96;3034;1935;6.65
R00001;P000038;1;54.11;3687;1550;8.94
R00001;P000038;1;58.12;3725;1088;9.42
R00001;P000038;1;59.33;3725;1063;9.52
R00001;P000039;1;0;0;1064;0.0
R00001;P000039;1;14.03;1229;1919;1.9
R00001;P000039;1;22.4;1410;1615;2.77
R00001;P000039;1;27.94;1444;815;3.34
R00001;P000039;1;42.96;3034;1935;6.26
R00001;P000039;1;54.11;3687;1550;8.98
R00001;P000039;1;58.12;3725;1088;9.44
R00001;P000039;1;59.33;3725;1063;9.53
R00001;P000040;1;0;0;1064;0.0
R00001;P000040;1;14.03;1229;1919;2.31
R00001;P000040;1;22.4;1410;1615;3.04
R00001;P000040;1;27.94;1444;815;3.68
R00001;P000040;1;42.96;3034;1935;6.44
R00001;P000040;1;54.11;3687;1550;8.94
R00001;P000040;1;58.12;3725;1088;9.43
R00001;P000040;1;59.33;3725;1063;9.54
R00001;P000041;1;0;0;1064;0.0
R00001;P000041;1;14.03;1229;1919;1.89
R00001;P000041;1;22.4;1410;1615;2.74
R00001;P000041;1;27.94;1444;815;3.31
R00001;P000041;1;42.96;3034;1935;6.38
R00001;P000041;1;54.11;3687;1550;8.97
R00001;P000041;1;58.12;3725;1088;9.48
R00001;P000041;1;59.33;3725;1063;9.59
R00001;P000042;1;0;0;1064;0.0
R00001;P000042;1;22.4;1410;1615;2.16
R00001;P000042;1;27.94;1444;815;2.63
R00001;P000042;1;42.96;3034;1935;4.68
R00001;P000042;1;54.11;3687;1550;6.27
R00001;P000042;1;58.12;3725;1088;6.58
R00001;P000042;1;59.33;3725;1063;6.65
R00001;P000043;1;0;0;1064;0.0
R00001;P000043;1;14.03;1229;1919;1.86
R00001;P000043;1;22.4;1410;1615;2.84
R00001;P000043;1;27.94;1444;815;3.41
R00001;P000043;1;42.96;3034;1935;6.3
R00001;P000043;1;54.11;3687;1550;9.05
R00001;P000043;1;58.12;3725;1088;9.53
R00001;P000043;1;59.33;3725;1063;9.63
R00001;P000044;1;0;0;1064;0.0
R00001;P000044;1;14.03;1229;1919;2.3
R00001;P000044;1;22.4;1410;1615;3.13
R00001;P000044;1;27.94;1444;815;3.9
R00001;P000044;1;42.96;3034;1935;6.6
R00001;P000044;1;54.11;3687;1550;9.07
R00001;P000044;1;58.12;3725;1088;9.54
R00001;P000044;1;59.33;3725;1063;9.64
